variant,seed,auc,acc,f1,avg
FCE-MIL,8,0.8734,0.8800,0.8261,0.8598
FCE-MIL,9,0.8709,0.8700,0.8116,0.8508
FCE-MIL,10,0.8631,0.8750,0.8201,0.8527
FCE-MIL,11,0.8597,0.8750,0.8201,0.8516
FCE-MIL,12,0.8909,0.8750,0.8227,0.8629
FCE-MIL,13,0.8462,0.8750,0.8227,0.8480
FCE-MIL,14,0.8824,0.8900,0.8451,0.8725
FCE-MIL,15,0.8680,0.8750,0.8201,0.8544
FCE-MIL,16,0.8640,0.8850,0.8345,0.8612
FCE-MIL,17,0.8754,0.8850,0.8369,0.8658
FCE-MIL,18,0.8877,0.8800,0.8261,0.8646
FCE-MIL,19,0.8837,0.8750,0.8175,0.8587
FCE-MIL,20,0.7998,0.8100,0.7246,0.7781
FCE-MIL,21,0.8546,0.8700,0.8088,0.8445
FCE-MIL,22,0.8772,0.8700,0.8060,0.8511
FCE-MIL,23,0.8841,0.8850,0.8296,0.8662
FCE-MIL,24,0.8470,0.8250,0.7742,0.8154
FCE-MIL,25,0.7283,0.7250,0.6405,0.6979
FCE-MIL,26,0.8623,0.8800,0.8261,0.8561
FCE-MIL,27,0.8682,0.8800,0.8286,0.8589
FCE-MIL,28,0.8710,0.8850,0.8321,0.8627
FCE-MIL,29,0.8759,0.8800,0.8261,0.8607
FCE-MIL,30,0.8677,0.8750,0.8201,0.8543
